id;cm_date_received;cm_claim_status;cm_claim_number
1;2021-08-11T19:09:56;project Account;Pizza frame digital
2;2021-08-11T21:26:36;Ferry;Directives scalable
3;2021-08-12T16:31:49;Auto transmit Organized;embrace
4;2021-08-12T16:11:37;optical Group;orange
5;2021-08-12T03:22:24;standardization;hacking redefine deposit
6;2021-08-12T11:26:04;withdrawal;applications navigating Pines
7;2021-08-12T09:53:45;Games Refined Lesotho;Spurs auxiliary application
8;2021-08-12T07:15:09;Granite;Future Manager
9;2021-08-12T09:39:56;Account;deposit
10;2021-08-11T20:17:23;Licensed;withdrawal Unions Representative
